ANIO,ENTIDAD_FEDERATIVA,CREDITO_TRADICIONAL
2013,CHIAPAS,914
2013,CHIHUAHUA,1006
2013,COAHUILA,947
2013,COLIMA,484
2013,DISTRITO FEDERAL,4553
2013,DURANGO,900
2013,GUANAJUATO,1596
2013,GUERRERO,1737
2013,HIDALGO,3187
2013,JALISCO,2284
2013,MEXICO,8753
2013,MICHOACAN,1116
2013,MORELOS,3891
2013,NAYARIT,1094
2013,NUEVO LEON,1413
2013,OAXACA,983
2013,PUEBLA,1811
2013,QUERETARO,1994
2013,QUINTANA ROO,1736
2013,SAN LUIS POTOSI,944
2013,SINALOA,1376
2013,SONORA,1368
2013,TABASCO,603
2013,TAMAULIPAS,1109
2013,TLAXCALA,393
2013,VERACRUZ,2906
2013,YUCATAN,1532
2013,ZACATECAS,526
2014,AGUASCALIENTES,884
2014,BAJA CALIFORNIA,1034
2014,BAJA CALIFORNIA SUR,1276
2014,CAMPECHE,263
2014,CHIAPAS,1210
2014,CHIHUAHUA,1354
2014,COAHUILA,1120
2014,COLIMA,665
2014,DISTRITO FEDERAL,5887
2014,DURANGO,830
2014,GUANAJUATO,1921
2014,GUERRERO,847
2014,HIDALGO,3420
2014,JALISCO,1966
2014,MEXICO,7409
2014,MICHOACAN,1055
2014,MORELOS,2906
2014,NAYARIT,1058
2014,NUEVO LEON,1408
2014,OAXACA,653
2014,PUEBLA,1735
2014,QUERETARO,2020
2014,QUINTANA ROO,1099
2014,SAN LUIS POTOSI,1095
2014,SINALOA,1725
2014,SONORA,1413
2014,TABASCO,751
2014,TAMAULIPAS,971
2014,TLAXCALA,423
2014,VERACRUZ,2523
2014,YUCATAN,1231
2014,ZACATECAS,513
2015,AGUASCALIENTES,804
2015,BAJA CALIFORNIA,1049
2015,BAJA CALIFORNIA SUR,845
2015,CAMPECHE,349
2015,CHIAPAS,1577
2015,CHIHUAHUA,1501
2015,COAHUILA,935
2015,COLIMA,557
2015,DISTRITO FEDERAL,4337
2015,DURANGO,759
2015,GUANAJUATO,1614
2015,GUERRERO,966
2015,HIDALGO,3004
2015,JALISCO,1650
2015,MEXICO,4371
2015,MICHOACAN,1478
2015,MORELOS,2510
2015,NAYARIT,769
2015,NUEVO LEON,1114
2015,OAXACA,1166
2015,PUEBLA,1755
2015,QUERETARO,1744
2015,QUINTANA ROO,1052
2015,SAN LUIS POTOSI,1203
2015,SINALOA,1362
2015,SONORA,1222
2015,TABASCO,754
2015,TAMAULIPAS,1438
2015,TLAXCALA,447
2015,VERACRUZ,3249
2015,YUCATAN,1374
2015,ZACATECAS,480
2016,AGUASCALIENTES,599
2016,BAJA CALIFORNIA,875
2016,BAJA CALIFORNIA SUR,908
2016,CAMPECHE,346
2016,CHIAPAS,2083
2016,CHIHUAHUA,1568
2016,COAHUILA,1085
2016,COLIMA,514
2016,CIUDAD DE MEXICO,4180
2016,DURANGO,724
2016,GUANAJUATO,1436
2016,GUERRERO,1436
2016,HIDALGO,3151
2016,JALISCO,1406
2016,MEXICO,4110
2016,MICHOACAN,1342
2016,MORELOS,2302
2016,NAYARIT,775
2016,NUEVO LEON,1062
2016,OAXACA,1141
2016,PUEBLA,1955
2016,QUERETARO,1539
2016,QUINTANA ROO,1085
2016,SAN LUIS POTOSI,1134
2016,SINALOA,1228
2016,SONORA,1230
2016,TABASCO,782
2016,TAMAULIPAS,1609
2016,TLAXCALA,439
2016,VERACRUZ,3975
2016,YUCATAN,1297
2016,ZACATECAS,537
2017,AGUASCALIENTES,732
2017,BAJA CALIFORNIA,714
2017,BAJA CALIFORNIA SUR,818
2017,CAMPECHE,368
2017,CHIAPAS,1724
2017,CHIHUAHUA,1481
2017,COAHUILA,1039
2017,COLIMA,506
2017,CIUDAD DE MEXICO,2883
2017,DURANGO,675
2017,GUANAJUATO,1475
2017,GUERRERO,1502
2017,HIDALGO,3220
2017,JALISCO,1329
2017,MEXICO,4198
2017,MICHOACAN,1391
2017,MORELOS,2090
2017,NAYARIT,798
2017,NUEVO LEON,1187
2017,OAXACA,1028
2017,PUEBLA,1735
2017,QUERETARO,1528
2017,QUINTANA ROO,1209
2017,SAN LUIS POTOSI,1181
2017,SINALOA,1368
2017,SONORA,1166
2017,TABASCO,634
2017,TAMAULIPAS,1194
2017,TLAXCALA,445
2017,VERACRUZ,3355
2017,YUCATAN,1361
2017,ZACATECAS,546
2018,AGUASCALIENTES,603
2018,BAJA CALIFORNIA,588
2018,BAJA CALIFORNIA SUR,980
2018,CAMPECHE,402
2018,CHIAPAS,1819
2018,CHIHUAHUA,1553
2018,COAHUILA,931
2018,COLIMA,517
2018,CIUDAD DE MEXICO,2334
2018,DURANGO,650
2018,GUANAJUATO,1256
2018,GUERRERO,1780
2018,HIDALGO,2863
2018,JALISCO,1177
2018,MEXICO,3999
2018,MICHOACAN,1473
2018,MORELOS,1879
2018,NAYARIT,598
2018,NUEVO LEON,898
2018,OAXACA,1168
2018,PUEBLA,1668
2018,QUERETARO,1345
2018,QUINTANA ROO,1269
2018,SAN LUIS POTOSI,1082
2018,SINALOA,1380
2018,SONORA,1078
2018,TABASCO,683
2018,TAMAULIPAS,1236
2018,TLAXCALA,514
2018,VERACRUZ,3524
2018,YUCATAN,1324
2018,ZACATECAS,430
2019,AGUASCALIENTES,645
2019,BAJA CALIFORNIA,618
2019,BAJA CALIFORNIA SUR,777
2019,CAMPECHE,495
2019,CHIAPAS,1875
2019,CHIHUAHUA,1606
2019,CIUDAD DE MEXICO,2078
2019,COAHUILA,1039
2019,COLIMA,598
